SELECTED_ASOS_ID,CLIENT,FACILITY_NAME,I06,S06,FORECAST_TIME,Q06,SITE,P06
CMH,EsteMauder,Pinehill Medical Center,0,0,1743746791095784000,37,CMH,86
CMH,EsteMauder,Pinehill Medical Center,0,0,1743768391095784000,34,CMH,92
CMH,EsteMauder,Pinehill Medical Center,0,0,1743789991095784000,16,CMH,54
CMH,EsteMauder,Pinehill Medical Center,0,0,1743811591095784000,21,CMH,64
CMH,EsteMauder,Pinehill Medical Center,0,0,1743833191095784000,19,CMH,63
CMH,EsteMauder,Pinehill Medical Center,0,0,1743854791095784000,43,CMH,75
CMH,EsteMauder,Pinehill Medical Center,0,0,1743876391095784000,15,CMH,71
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743660391095784000,0,SAN,7
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743681991095784000,0,SAN,14
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743703591095784000,0,SAN,16
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743725191095784000,0,SAN,4
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743746791095784000,0,SAN,3
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743768391095784000,0,SAN,0
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743789991095784000,0,SAN,0
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743811591095784000,0,SAN,1
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743833191095784000,0,SAN,0
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743854791095784000,0,SAN,0
SAN,EsteMauder,Maplewood Packaging Plant,0,0,1743876391095784000,0,SAN,0
FTY,EsteMauder,Metro Auto Assembly,0,0,1743660391095784000,0,FTY,8
FTY,EsteMauder,Metro Auto Assembly,0,0,1743681991095784000,0,FTY,0
FTY,EsteMauder,Metro Auto Assembly,0,0,1743703591095784000,0,FTY,3
FTY,EsteMauder,Metro Auto Assembly,0,0,1743725191095784000,0,FTY,3
FTY,EsteMauder,Metro Auto Assembly,0,0,1743746791095784000,0,FTY,2
FTY,EsteMauder,Metro Auto Assembly,0,0,1743768391095784000,0,FTY,0
FTY,EsteMauder,Metro Auto Assembly,0,0,1743789991095784000,0,FTY,1
FTY,EsteMauder,Metro Auto Assembly,0,0,1743811591095784000,0,FTY,7
FTY,EsteMauder,Metro Auto Assembly,0,0,1743833191095784000,0,FTY,4
FTY,EsteMauder,Metro Auto Assembly,0,0,1743854791095784000,0,FTY,1
FTY,EsteMauder,Metro Auto Assembly,0,0,1743876391095784000,0,FTY,0
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743660391095784000,69,LUK,92
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743660391095784000,69,LUK,92
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743681991095784000,32,LUK,97
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743681991095784000,32,LUK,97
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743703591095784000,6,LUK,56
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743703591095784000,6,LUK,56
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743725191095784000,9,LUK,70
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743725191095784000,9,LUK,70
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743746791095784000,44,LUK,92
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743746791095784000,44,LUK,92
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743768391095784000,34,LUK,96
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743768391095784000,34,LUK,96
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743789991095784000,29,LUK,76
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743789991095784000,29,LUK,76
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743811591095784000,24,LUK,78
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743811591095784000,24,LUK,78
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743833191095784000,24,LUK,59
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743833191095784000,24,LUK,59
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743854791095784000,39,LUK,69
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743854791095784000,39,LUK,69
LUK,EsteMauder,Golden Plains Agribusiness,0,0,1743876391095784000,20,LUK,73
LUK,EsteMauder,Crimson Electronics Lab,0,0,1743876391095784000,20,LUK,73
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743660391095784000,0,TIW,25
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743681991095784000,0,TIW,1
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743703591095784000,0,TIW,1
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743725191095784000,0,TIW,2
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743746791095784000,0,TIW,0
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743768391095784000,0,TIW,0
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743789991095784000,0,TIW,0
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743811591095784000,0,TIW,0
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743833191095784000,0,TIW,0
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743854791095784000,0,TIW,0
TIW,EsteMauder,Urban Infrastructure Hub,0,0,1743876391095784000,0,TIW,0
CWN,EsteMauder,Liberty Steelworks,0,0,1743660391095784000,0,CWN,3
CWN,EsteMauder,Frontier Robotics Center,0,0,1743660391095784000,0,CWN,3
CWN,EsteMauder,Liberty Steelworks,0,0,1743681991095784000,0,CWN,13
CWN,EsteMauder,Frontier Robotics Center,0,0,1743681991095784000,0,CWN,13
CWN,EsteMauder,Liberty Steelworks,0,5,1743703591095784000,5,CWN,50
CWN,EsteMauder,Frontier Robotics Center,0,5,1743703591095784000,5,CWN,50
CWN,EsteMauder,Liberty Steelworks,0,2,1743725191095784000,3,CWN,69
CWN,EsteMauder,Frontier Robotics Center,0,2,1743725191095784000,3,CWN,69
CWN,EsteMauder,Liberty Steelworks,0,0,1743746791095784000,1,CWN,20
CWN,EsteMauder,Frontier Robotics Center,0,0,1743746791095784000,1,CWN,20
CWN,EsteMauder,Liberty Steelworks,0,0,1743768391095784000,0,CWN,7
CWN,EsteMauder,Frontier Robotics Center,0,0,1743768391095784000,0,CWN,7
CWN,EsteMauder,Liberty Steelworks,0,0,1743789991095784000,0,CWN,22
CWN,EsteMauder,Frontier Robotics Center,0,0,1743789991095784000,0,CWN,22
CWN,EsteMauder,Liberty Steelworks,0,3,1743811591095784000,4,CWN,84
CWN,EsteMauder,Frontier Robotics Center,0,3,1743811591095784000,4,CWN,84
CWN,EsteMauder,Liberty Steelworks,0,10,1743833191095784000,6,CWN,76
CWN,EsteMauder,Frontier Robotics Center,0,10,1743833191095784000,6,CWN,76
CWN,EsteMauder,Liberty Steelworks,0,16,1743854791095784000,4,CWN,66
CWN,EsteMauder,Frontier Robotics Center,0,16,1743854791095784000,4,CWN,66
CWN,EsteMauder,Liberty Steelworks,0,9,1743876391095784000,2,CWN,41
CWN,EsteMauder,Frontier Robotics Center,0,9,1743876391095784000,2,CWN,41
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743660391095784000,1,JRB,13
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743660391095784000,1,JRB,13
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743681991095784000,1,JRB,52
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743681991095784000,1,JRB,52
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743703591095784000,1,JRB,41
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743703591095784000,1,JRB,41
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743725191095784000,9,JRB,23
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743725191095784000,9,JRB,23
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743746791095784000,2,JRB,32
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743746791095784000,2,JRB,32
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743768391095784000,6,JRB,54
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743768391095784000,6,JRB,54
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743789991095784000,5,JRB,38
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743789991095784000,5,JRB,38
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743811591095784000,0,JRB,5
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743811591095784000,0,JRB,5
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743833191095784000,0,JRB,6
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743833191095784000,0,JRB,6
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743854791095784000,0,JRB,26
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743854791095784000,0,JRB,26
JRB,EsteMauder,Riverbend Recycling Center,0,0,1743876391095784000,6,JRB,56
JRB,EsteMauder,Neptune Shipping Terminal,0,0,1743876391095784000,6,JRB,56
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743660391095784000,1,DAL,8
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743681991095784000,25,DAL,75
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743703591095784000,14,DAL,59
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743725191095784000,1,DAL,29
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743746791095784000,3,DAL,26
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743768391095784000,14,DAL,67
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743789991095784000,32,DAL,83
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743811591095784000,47,DAL,92
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743833191095784000,42,DAL,85
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743854791095784000,109,DAL,96
DAL,EsteMauder,Sunrise Logistics Hub,0,0,1743876391095784000,28,DAL,74
BDU,EsteMauder,Northpoint Warehouse,0,0,1743660391095784000,0,BDU,2
BDU,EsteMauder,Northpoint Warehouse,0,0,1743681991095784000,0,BDU,7
BDU,EsteMauder,Northpoint Warehouse,0,1,1743703591095784000,1,BDU,45
BDU,EsteMauder,Northpoint Warehouse,0,2,1743725191095784000,5,BDU,79
BDU,EsteMauder,Northpoint Warehouse,0,2,1743746791095784000,5,BDU,56
BDU,EsteMauder,Northpoint Warehouse,0,0,1743768391095784000,1,BDU,26
BDU,EsteMauder,Northpoint Warehouse,0,1,1743789991095784000,3,BDU,41
BDU,EsteMauder,Northpoint Warehouse,0,3,1743811591095784000,15,BDU,84
BDU,EsteMauder,Northpoint Warehouse,0,25,1743833191095784000,13,BDU,71
BDU,EsteMauder,Northpoint Warehouse,0,24,1743854791095784000,5,BDU,48
BDU,EsteMauder,Northpoint Warehouse,0,5,1743876391095784000,1,BDU,21
BUF,EsteMauder,Ironclad Foundry,0,0,1743660391095784000,21,BUF,70
BUF,EsteMauder,Highland Data Center,0,0,1743660391095784000,21,BUF,70
BUF,EsteMauder,Ironclad Foundry,0,0,1743681991095784000,23,BUF,95
BUF,EsteMauder,Highland Data Center,0,0,1743681991095784000,23,BUF,95
BUF,EsteMauder,Ironclad Foundry,0,0,1743703591095784000,6,BUF,53
BUF,EsteMauder,Highland Data Center,0,0,1743703591095784000,6,BUF,53
BUF,EsteMauder,Ironclad Foundry,0,0,1743725191095784000,0,BUF,5
BUF,EsteMauder,Highland Data Center,0,0,1743725191095784000,0,BUF,5
BUF,EsteMauder,Ironclad Foundry,0,0,1743746791095784000,0,BUF,6
BUF,EsteMauder,Highland Data Center,0,0,1743746791095784000,0,BUF,6
BUF,EsteMauder,Ironclad Foundry,0,0,1743768391095784000,0,BUF,11
BUF,EsteMauder,Highland Data Center,0,0,1743768391095784000,0,BUF,11
BUF,EsteMauder,Ironclad Foundry,0,0,1743789991095784000,0,BUF,8
BUF,EsteMauder,Highland Data Center,0,0,1743789991095784000,0,BUF,8
BUF,EsteMauder,Ironclad Foundry,0,0,1743811591095784000,0,BUF,3
BUF,EsteMauder,Highland Data Center,0,0,1743811591095784000,0,BUF,3
BUF,EsteMauder,Ironclad Foundry,0,0,1743833191095784000,0,BUF,22
BUF,EsteMauder,Highland Data Center,0,0,1743833191095784000,0,BUF,22
BUF,EsteMauder,Ironclad Foundry,0,0,1743854791095784000,37,BUF,84
BUF,EsteMauder,Highland Data Center,0,0,1743854791095784000,37,BUF,84
BUF,EsteMauder,Ironclad Foundry,0,0,1743876391095784000,34,BUF,95
BUF,EsteMauder,Highland Data Center,0,0,1743876391095784000,34,BUF,95
RDU,EsteMauder,Summit Manufacturing,0,0,1743660391095784000,0,RDU,10
RDU,EsteMauder,Summit Manufacturing,0,0,1743681991095784000,0,RDU,20
RDU,EsteMauder,Summit Manufacturing,0,0,1743703591095784000,0,RDU,2
RDU,EsteMauder,Summit Manufacturing,0,0,1743725191095784000,0,RDU,13
RDU,EsteMauder,Summit Manufacturing,0,0,1743746791095784000,0,RDU,1
RDU,EsteMauder,Summit Manufacturing,0,0,1743768391095784000,0,RDU,1
RDU,EsteMauder,Summit Manufacturing,0,0,1743789991095784000,0,RDU,0
RDU,EsteMauder,Summit Manufacturing,0,0,1743811591095784000,0,RDU,4
RDU,EsteMauder,Summit Manufacturing,0,0,1743833191095784000,0,RDU,8
RDU,EsteMauder,Summit Manufacturing,0,0,1743854791095784000,0,RDU,2
RDU,EsteMauder,Summit Manufacturing,0,0,1743876391095784000,0,RDU,0
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743660391095784000,0,RDU,10
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743681991095784000,0,RDU,20
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743703591095784000,0,RDU,2
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743725191095784000,0,RDU,13
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743746791095784000,0,RDU,1
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743768391095784000,0,RDU,1
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743789991095784000,0,RDU,0
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743811591095784000,0,RDU,4
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743833191095784000,0,RDU,8
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743854791095784000,0,RDU,2
RDU,EsteMauder,Gateway Transportation Depot,0,0,1743876391095784000,0,RDU,0
